"FAPP-cpupa","Thread","0","1","0","all","0","1","475144096","3922675847","182955559","49660782","1763","1807890872","328271214","178459198","30074515","1738595"
"FAPP-cpupa","Thread","0","1","1","all","0","1","139825952","2796420759","61020180","49643520","0","66483689","7310969","64808653","7085057","1680779"
"FAPP-cpupa","Thread","0","1","2","all","0","1","139826016","2796355051","61020180","49643520","0","66490458","7314536","64808653","7085057","1680780"
"FAPP-cpupa","Thread","0","1","3","all","0","1","147634656","2933169911","61020180","49643520","0","66486883","7313111","64808653","7085057","1680779"
"FAPP-cpupa","Thread","0","1","4","all","0","1","140041504","2765052692","61020180","49643520","0","66485264","7311775","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","1","5","all","0","1","139819552","2755088693","61020180","49643520","0","66484495","7311329","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","1","6","all","0","1","157271200","3126037852","61020180","49643520","0","66486663","7313376","64808653","7085057","1680776"
"FAPP-cpupa","Thread","0","1","7","all","0","1","147929472","2928236958","61020180","49643520","0","66485544","7312322","64808653","7085057","1680779"
"FAPP-cpupa","Thread","0","1","8","all","0","1","139813664","2771446770","61020180","49643520","0","66484315","7311254","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","1","9","all","0","1","147743456","2924597958","61020180","49643520","0","66485293","7312132","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","1","10","all","0","1","147856192","2915904821","61020180","49643520","0","66485914","7312554","64808653","7085057","1680779"
"FAPP-cpupa","Thread","0","1","11","all","0","1","139814304","2760489508","61020180","49643520","0","66484307","7311246","64808653","7085057","1680777"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130969760","2618717161","724992000","589824000","0","789607147","86622032","770006511","84181915","19969284"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10915776","218251338","60416000","49152000","0","65810920","7225805","64171073","7018840","1664107"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10911520","218184741","60416000","49152000","0","65799625","7217826","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10915744","218252164","60416000","49152000","0","65799652","7217838","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10911680","218186084","60416000","49152000","0","65799692","7217858","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10912064","218193655","60416000","49152000","0","65799634","7217825","64166858","7014825","1664107"
