"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:51 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10913920","218220301","23424049","1254400","0","0","0","8","0","283592"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10910464","218159420","23424049","1254400","0","0","0","8","0","283695"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10913984","218222227","23424049","1254400","0","0","0","8","0","283580"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10910240","218156955","23424049","1254400","0","0","0","8","0","284195"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10913952","218221205","23424049","1254400","0","0","0","8","0","283627"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10909888","218149631","23424049","1254400","0","0","0","8","0","283514"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10914272","218221107","23424049","1254400","0","0","0","8","0","283546"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10914080","218220468","23424049","1254400","0","0","0","8","0","283726"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10910112","218153238","23424049","1254400","0","0","0","8","0","283423"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","10913760","218218332","23424049","1254400","0","0","0","8","0","283266"
"FAPP-cpupa","Process","0","3","-","all","0","12","2035069632","38192223423","283908297","15204673","0","0","16","1608364","1514120","3923001967"
"FAPP-cpupa","Thread","0","3","0","all","0","1","471664416","6995011231","23666579","1268289","0","0","16","1608100","1514010","3919389761"
"FAPP-cpupa","Thread","0","3","1","all","0","1","137639040","2749255846","23658338","1266944","0","0","0","24","10","327870"
"FAPP-cpupa","Thread","0","3","2","all","0","1","137859424","2740847055","23658338","1266944","0","0","0","24","10","326928"
"FAPP-cpupa","Thread","0","3","3","all","0","1","137587616","2748426570","23658338","1266944","0","0","0","24","10","327534"
"FAPP-cpupa","Thread","0","3","4","all","0","1","147729920","2943181719","23658338","1266944","0","0","0","24","10","329495"
"FAPP-cpupa","Thread","0","3","5","all","0","1","137587840","2751719360","23658338","1266944","0","0","0","24","10","326357"
"FAPP-cpupa","Thread","0","3","6","all","0","1","137585312","2748498855","23658338","1266944","0","0","0","24","10","326933"
"FAPP-cpupa","Thread","0","3","7","all","0","1","147579616","2946030990","23658338","1266944","0","0","0","24","10","330599"
"FAPP-cpupa","Thread","0","3","8","all","0","1","137589024","2746256424","23658338","1266944","0","0","0","24","10","327579"
"FAPP-cpupa","Thread","0","3","9","all","0","1","157017216","3129443018","23658338","1266944","0","0","0","24","10","332513"
"FAPP-cpupa","Thread","0","3","10","all","0","1","137587936","2740811715","23658338","1266944","0","0","0","24","10","326961"
"FAPP-cpupa","Thread","0","3","11","all","0","1","147642272","2952740640","23658338","1266944","0","0","0","24","10","329437"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","126496768","2529211968","281088588","15052800","0","0","0","96","0","3411191"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","10542912","210790261","23424049","1254400","0","0","0","8","0","287780"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","10542976","210790398","23424049","1254400","0","0","0","8","0","284445"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","10542656","210790708","23424049","1254400","0","0","0","8","0","284073"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","10538880","210728321","23424049","1254400","0","0","0","8","0","283856"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","10542560","210789514","23424049","1254400","0","0","0","8","0","283977"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","10542720","210790350","23424049","1254400","0","0","0","8","0","284082"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","10542976","210789914","23424049","1254400","0","0","0","8","0","283902"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","10538688","210724094","23424049","1254400","0","0","0","8","0","283713"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","10538624","210721636","23424049","1254400","0","0","0","8","0","283592"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","10542560","210789696","23424049","1254400","0","0","0","8","0","284097"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","10542848","210789885","23424049","1254400","0","0","0","8","0","284021"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","10538368","210717191","23424049","1254400","0","0","0","8","0","283653"
