"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:41 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Process","0","2","-","all","0","12","2041352384","36061248159","0","0","1281","617561510","150907919","34371","820033777","3939"
"FAPP-cpupa","Thread","0","2","0","all","0","1","471918816","4820689458","0","0","1083","71482504","33402916","33238","172448696","3939"
"FAPP-cpupa","Thread","0","2","1","all","0","1","146697472","2913356458","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","138876192","2746042814","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","138826656","2739480177","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","139099552","2781956206","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","138870016","2762253586","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","138826720","2774122033","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","138826176","2772207886","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","146824640","2910390609","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","147122592","2932748335","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","156592896","3131754825","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","138870656","2776245772","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","86515552","1729580205","0","0","0","589830424","126917115","1212","699466723","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","7210976","144147721","0","0","0","49158413","10576440","101","58294224","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","7210976","144150965","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","7210912","144150346","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","7207296","144098685","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","7210944","144152481","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","7210784","144152627","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","7210816","144151578","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","7206976","144091887","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","7206784","144085936","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","7210944","144152206","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","7207136","144092685","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","7211008","144153088","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2024565856","35088527779","0","0","1281","617561494","150907462","34372","820033444","3939"
"FAPP-cpupa","Thread","0","3","0","all","0","1","469160032","4050773076","0","0","1083","71482488","33402459","33239","172448363","3939"
