"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:55 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","1","9","all","0","1","136730144","2724843334","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","143296128","2861662397","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","143475936","2869364765","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","86064672","1720604236","204","0","23040000","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7173248","143401348","17","0","1920000","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7173248","143402307","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7169440","143341858","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7173280","143402313","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7173248","143402180","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7173056","143401711","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7173280","143403136","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7169568","143342957","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7173152","143402464","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7169824","143349316","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7173280","143402618","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7170048","143352028","17","0","1920000","0","49152000","1","0","0"
