"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:27:49 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-cpupa","Thread","0","1","7","all","0","1","142627264","2847177653","221327360","20","3108999","274374","749111","96997","259929537","161731097"
"FAPP-cpupa","Thread","0","1","8","all","0","1","150408800","2992965709","221327360","20","3114137","298693","753824","97716","259931712","161731097"
"FAPP-cpupa","Thread","0","1","9","all","0","1","150430112","3005416277","221327360","20","3118055","266096","760748","93236","259941922","161731097"
"FAPP-cpupa","Thread","0","1","10","all","0","1","150644384","3003060654","221327360","20","3110916","249266","754048","95262","259938786","161731097"
"FAPP-cpupa","Thread","0","1","11","all","0","1","158723904","3163647794","221327360","20","3120590","247322","757347","97502","259943365","161731097"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","136862272","2736539966","2629632000","0","36893606","3079042","8833794","1168014","3085525108","1921557000"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","11406720","228063653","219136000","0","3067371","251789","711122","112281","257156878","160129750"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","11406752","228068310","219136000","0","3066042","234021","725270","98602","257125688","160129750"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","11406528","228068673","219136000","0","3060615","258676","722014","98653","257124344","160129750"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","11404160","228029982","219136000","0","3066654","266749","729233","96492","257124373","160129750"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","11402368","227998633","219136000","0","3073033","241508","735339","96471","257123950","160129750"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","11406624","228067620","219136000","0","3062036","243439","725880","96027","257125904","160129750"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","11402944","228009832","219136000","0","3082729","270566","747120","94455","257123856","160129750"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","11406304","228067558","219136000","0","3077604","269487","741728","95848","257123800","160129750"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","11406752","228068105","219136000","0","3082756","293676","746501","96594","257123845","160129750"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","11403136","228013115","219136000","0","3086585","261319","753257","92172","257124777","160129750"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","11403296","228016013","219136000","0","3079491","244834","746643","94143","257124106","160129750"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","11406688","228068472","219136000","0","3088690","242978","749687","96276","257123587","160129750"
