"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:30 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-cpupa","Thread","0","3","7","all","0","1","140930432","2792584830","8114480","4795304","54718105","56288","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","158054016","3160964343","8205886","4782705","54687327","62744","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","148812640","2973852594","8237714","4765310","54682204","59858","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","148719200","2973121507","8214465","4798628","54669885","60376","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","140658240","2792479086","8161542","4783033","54710089","56732","221327360","0","20","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","136937216","2738035647","96943166","59332572","647168220","91003","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11413472","228200230","7901903","7225987","51630129","39538","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11409824","228149988","8166000","4714099","54124725","4852","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11409760","228147594","8081476","4742419","54142264","4704","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11409376","228140294","8054635","4771271","54120661","4632","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11413376","228201688","8146482","4730224","54121118","4634","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11413408","228201751","8092521","4745866","54131516","5379","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11413536","228201233","8098430","4728715","54148420","4455","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11413472","228201377","8007539","4746017","54174945","4571","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11413248","228200345","8098805","4732710","54143689","4358","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11413344","228200704","8131596","4715206","54138643","4845","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11407104","228092717","8107728","4747706","54125999","4717","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11407296","228097726","8056051","4732352","54166111","4318","219136000","0","0","0"
"FAPP-cpupa","Process","0","0","-","all","0","12","2108004640","38190640084","469789856","230767586","3309535142","42517205","2655984044","0","120935077","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","475031520","5814500998","380504834","179321502","2706217567","41868558","221383084","0","120934857","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","152721536","3054388913","8076507","4672183","54865718","60265","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","162506656","3230921046","8131008","4674174","54834950","64314","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","144874336","2872313906","8147943","4677205","54828369","58336","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","144602496","2856451782","8137662","4672672","54848921","57890","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","144602720","2861505118","8138491","4675690","54830879","57979","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","152566784","3051295165","8014822","4694920","54889518","59840","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","144652832","2862961878","8194731","4662295","54818385","57445","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","144602912","2856067130","8066558","4708170","54847315","56763","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","144602816","2851180639","8074238","4661629","54887755","57656","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","152637760","3011718213","8097583","4671773","54864548","60564","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","144602272","2867335296","8205479","4675373","54801217","57595","221327360","0","20","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","140995360","2819217022","96553136","58259139","648609957","55447","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11751200","234956454","8428141","7351486","51286705","5476","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11751200","234957154","7971612","4623593","54321022","4718","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11751200","234957945","8023055","4625552","54290062","4604","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11747680","234906324","8042293","4627938","54283238","4761","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11747488","234901756","8031781","4623363","54303999","4496","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11751008","234956840","8034392","4626655","54285729","4950","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11751040","234957358","7909779","4646239","54344981","4505","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11750976","234957256","8090484","4612930","54273184","4396","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11751072","234958156","7961140","4659328","54302974","4156","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11747072","234894669","7969687","4612916","54342133","4600","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11747552","234903290","7991427","4622812","54319456","4579","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11747872","234909820","8099345","4626327","54256474","4206","219136000","0","0","0"
