"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:26 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","5","all","0","1","139245792","2783790228","323882872","42223","0","323802439","2152","1153214","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","139246432","2780716439","323882379","41912","0","323802512","2041","1152950","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","139560512","2775303184","323883958","41712","0","323804441","1975","1153393","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","149276800","2983168380","323894749","43901","0","323810677","2012","1155483","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","149338464","2977118870","323896693","44214","0","323812154","2206","1155874","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","139245440","2769818513","323880947","41602","0","323801650","2045","1152728","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","139242624","2784817196","323871664","41075","0","323793137","1778","1151432","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","99871616","1996689589","3845323786","68821","0","3845214574","12760","13213810","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8323904","166400964","320494884","6190","0","320485112","1119","1105304","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8323712","166408024","320440333","6098","0","320430533","1077","1101090","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8320096","166355919","320439181","5739","0","320430001","1189","1100812","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8320576","166361722","320438921","5626","0","320429973","1036","1100785","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8320416","166362025","320438454","5594","0","320429590","1022","1100634","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8323808","166407026","320440547","6103","0","320430827","1133","1101074","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8323712","166406800","320438840","5720","0","320429780","1033","1100724","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8320256","166357514","320438796","5573","0","320429984","968","1100769","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8323776","166407611","320438106","5401","0","320429550","971","1100601","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8323872","166407220","320439539","5765","0","320430391","1171","1100925","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8323808","166407149","320438589","5643","0","320429669","1045","1100666","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8323680","166407615","320437596","5369","0","320429164","996","1100426","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2026046176","38141578166","22438003306","71735157","3","22355388124","5875040","4128351812","0","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","455266656","6976547013","18875194681","71262511","3","18793479921","5666484","4115651693","0","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","141173600","2823440150","323878792","42403","0","323797589","18660","1152870","0","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","146970176","2923898122","323951005","47953","0","323860330","19956","1163899","0","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","147032128","2898594071","323889966","43471","0","323807034","18852","1154557","0","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","141172576","2797280416","323885496","42366","0","323804768","19067","1153466","0","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","141173760","2786425280","323881732","42137","0","323801403","18727","1152833","0","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","141174176","2791822087","323885384","41932","0","323805614","18973","1153348","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","141175296","2792293884","323890739","42470","0","323809981","18832","1154016","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","141172672","2797733387","323882884","41977","0","323802899","18718","1153066","0","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","141171232","2802639857","323888538","42292","0","323808075","19021","1153823","0","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","141489440","2809507236","323884988","42206","0","323804516","19032","1153681","0","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","147074464","2941396663","323889101","43439","0","323805994","18718","1154560","0","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","109502464","2189361053","3845343578","72719","0","3845227698","207791","13217080","0","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","9126912","182465011","320497212","6890","0","320486508","13183","1105768","0","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","9126912","182471089","320442346","6344","0","320431894","17665","1101426","0","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","9121280","182379272","320441383","6074","0","320431623","17738","1101245","0","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","9126720","182470554","320441320","6149","0","320431528","17696","1101209","0","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","9126624","182471633","320440976","6075","0","320431216","17849","1101088","0","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","9126560","182471381","320440959","6071","0","320431191","17598","1101080","0","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","9123936","182432767","320438856","5762","0","320429844","17743","1100698","0","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","9123360","182419891","320440317","5952","0","320430865","17552","1100914","0","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","9126720","182471482","320439861","5860","0","320430577","17508","1100848","0","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","9123744","182427687","320439982","5870","0","320430722","17775","1100848","0","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","9126912","182471410","320440669","5964","0","320431173","17860","1101075","0","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","9122784","182408876","320439697","5708","0","320430557","17624","1100881","0","0"
