"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","7973728","159406332","17","0","0","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","7969312","159338933","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","7969888","159351040","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","7973536","159405998","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","7973728","159406424","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","7973344","159407483","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","7973696","159406565","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","7973760","159406964","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","7967392","159300450","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","7971264","159372656","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","7969760","159348057","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","7973600","159406734","17","0","0","0","49152000","1","0","0"
