"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:12 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8160704","163166796","448049","1200","0","0","0","8","16000","1100967"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8164128","163218267","448049","1200","0","0","0","8","16000","1100809"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8160544","163163041","448049","1200","0","0","0","8","16000","1100985"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8164320","163217142","448049","1200","0","0","0","8","16000","1100913"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8164320","163216964","448049","1200","0","0","0","8","16000","1100706"
"FAPP-cpupa","Process","0","1","-","all","0","12","2058144224","36787038134","5439079","15889","0","0","16","1608377","1785907","2166155958"
"FAPP-cpupa","Thread","0","1","0","all","0","1","472586112","5221342578","460721","2557","0","0","16","1608113","1608037","2153455554"
"FAPP-cpupa","Thread","0","1","1","all","0","1","148328704","2956939616","452578","1212","0","0","0","24","16170","1156036"
"FAPP-cpupa","Thread","0","1","2","all","0","1","140147744","2786483163","452578","1212","0","0","0","24","16170","1154814"
"FAPP-cpupa","Thread","0","1","3","all","0","1","159946496","3176523294","452578","1212","0","0","0","24","16170","1158722"
"FAPP-cpupa","Thread","0","1","4","all","0","1","147992576","2959751760","452578","1212","0","0","0","24","16170","1155270"
"FAPP-cpupa","Thread","0","1","5","all","0","1","140103552","2790605515","452578","1212","0","0","0","24","16170","1153432"
"FAPP-cpupa","Thread","0","1","6","all","0","1","140103584","2780260890","452578","1212","0","0","0","24","16170","1152942"
"FAPP-cpupa","Thread","0","1","7","all","0","1","140153632","2792144870","452578","1212","0","0","0","24","16170","1153362"
"FAPP-cpupa","Thread","0","1","8","all","0","1","148154944","2963062946","452578","1212","0","0","0","24","16170","1154425"
"FAPP-cpupa","Thread","0","1","9","all","0","1","140153056","2787982286","452578","1212","0","0","0","24","16170","1153432"
"FAPP-cpupa","Thread","0","1","10","all","0","1","140370144","2790496845","452578","1212","0","0","0","24","16170","1153550"
"FAPP-cpupa","Thread","0","1","11","all","0","1","140103680","2781444371","452578","1212","0","0","0","24","16170","1154419"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97878560","1956852898","5376588","14400","0","0","0","96","192000","13214348"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8158304","163099022","448049","1200","0","0","0","8","16000","1104198"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8158176","163097750","448049","1200","0","0","0","8","16000","1101191"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8151840","162991461","448049","1200","0","0","0","8","16000","1100870"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8154528","163043556","448049","1200","0","0","0","8","16000","1101015"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8154432","163040788","448049","1200","0","0","0","8","16000","1100780"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8158240","163098301","448049","1200","0","0","0","8","16000","1101032"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8158016","163097817","448049","1200","0","0","0","8","16000","1100862"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8158240","163097946","448049","1200","0","0","0","8","16000","1100822"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8158272","163098079","448049","1200","0","0","0","8","16000","1100749"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8158272","163097283","448049","1200","0","0","0","8","16000","1100986"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8158208","163097990","448049","1200","0","0","0","8","16000","1100918"
