"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:19 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.923389","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312629","-","-","1"
"FAPP-time-stat","0","2","all","0","4.896891","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312708","-","-","1"
"FAPP-time-stat","0","3","all","0","4.894223","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316325","-","-","1"
"FAPP-time-stat","0","0","all","0","4.878338","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312513","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Thread","0","3","3","all","0","1","161684928","3198401481","715164","2260057","1449647","2984410","1121527","28183040","0","89405"
"FAPP-cpupa","Thread","0","3","4","all","0","1","162001408","3223515096","697110","2260680","1449724","2980519","1128515","28183040","0","102385"
"FAPP-cpupa","Thread","0","3","5","all","0","1","161736736","3204813969","715684","2260218","1449860","2980712","1122462","28183040","0","85157"
"FAPP-cpupa","Thread","0","3","6","all","0","1","161737760","3234723131","714108","2259864","1450442","2983292","1121005","28183040","0","89164"
"FAPP-cpupa","Thread","0","3","7","all","0","1","161732384","3193906580","713874","2259965","1449650","2978685","1120361","28183040","0","85203"
"FAPP-cpupa","Thread","0","3","8","all","0","1","170007328","3381113738","716143","2259572","1449567","2976749","1119253","28183040","0","81592"
"FAPP-cpupa","Thread","0","3","9","all","0","1","169707712","3372279477","713706","2260150","1450489","2978020","1122257","28183040","0","84637"
"FAPP-cpupa","Thread","0","3","10","all","0","1","179697344","3555803472","719391","2260038","1449507","2974230","1119435","28183040","0","78397"
"FAPP-cpupa","Thread","0","3","11","all","0","1","161732768","3210178842","717556","2260457","1449437","2982451","1119218","28183040","0","81069"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379651936","7592319566","8414714","26796797","17201249","35376904","13328132","334848000","0","1063738"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31639072","632708732","663469","2195420","1413040","2933452","1108042","27904000","0","106201"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31639072","632712689","683463","2236485","1434974","2948190","1113934","27904000","0","106867"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31639072","632712476","708947","2236221","1434804","2949246","1115427","27904000","0","82961"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31639008","632713515","708033","2236495","1435199","2954184","1110137","27904000","0","88370"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31638912","632713533","690164","2236645","1435279","2949292","1116514","27904000","0","101107"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31635168","632656409","708554","2236645","1435425","2950417","1111006","27904000","0","84118"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31639072","632712723","707009","2236457","1436009","2952947","1109581","27904000","0","88116"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31638624","632712775","706768","2236457","1435212","2948534","1108977","27904000","0","84185"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31634976","632651422","709008","2235979","1435160","2946595","1107854","27904000","0","80691"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31634752","632648782","706595","2236542","1436062","2947923","1110896","27904000","0","83676"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31638784","632714233","712229","2236580","1435083","2943822","1107913","27904000","0","77390"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31635424","632662277","710475","2236871","1435002","2952302","1107851","27904000","0","80056"
"FAPP-cpupa","Process","0","0","-","all","0","12","2352975008","44434243748","8982394","31141027","21465244","39115691","13263947","338196853","250","1497532"
"FAPP-cpupa","Thread","0","0","0","all","0","1","487837856","7184397785","821982","5370681","2532654","4254266","1363913","28183413","250","165823"
"FAPP-cpupa","Thread","0","0","1","all","0","1","173704064","3473925812","741447","2352667","1726219","3185151","1086885","28183040","0","124004"
"FAPP-cpupa","Thread","0","0","2","all","0","1","173642368","3471322163","735091","2352769","1726951","3182556","1084434","28183040","0","128081"
"FAPP-cpupa","Thread","0","0","3","all","0","1","165651968","3303309564","741589","2337363","1718589","3162514","1082326","28183040","0","122136"
"FAPP-cpupa","Thread","0","0","4","all","0","1","165921888","3307938054","736952","2351871","1726046","3180740","1082539","28183040","0","125790"
